"Id","Promotor","Cliente","Fecha","Descripcion","Moneda","TC","Cotizado cliente","Status"
"13698","RAMIRO LEE","BLACK & DECKER DE REYNOSA","02/07/26","P#13698 -OC#624016 -Servicio de Diagnóstico y Reparación de 4 Cámaras (SM #3 ubicada en almacén, Cámara W-Z ubicada en embarques, Entrada almacén de baterías ubicada en almacén, y Pack Cell 2 ubicada en producción) - Pin 1871.","MXN","$ 17.5368","$ 30,706.09","Aceptada"
"13690","ORLANDO MARTINEZ","E&M INDUSTRIAL SUPPLIES","01/07/26","instalacion de luminarias  solares y camaras en Colonia Portillo","MXN","$ 17.4693","$ 42,294.06","Aceptada"
"13673","ALFREDO PALOMINO","AMETEK LAMB MOTORES DE MEXICO","29/06/26","INSTALACION DE 9 SERVICIO DE RED AREA HT","MXN","$ 17.4700","$ 52,557.16","Aceptada"
"13660","RAMIRO LEE","CORNING MONTERREY","26/06/26","P#13660 - PO 4502042950 - #RFQReq:226549 - Servicio de 50 bajadas de red para MTA Sin material para equipos MSI","MXN","$ 17.5260","$ 91,624.12","Aceptada"
"13647","ALFREDO PALOMINO","ALPS ALPINE NORTH AMERICA","23/06/26","Enlace Site - para Linea MARS","USD","$ 17.3480","$ 5,790.00","Aceptada"
"13646","RAMIRO LEE","GM3 INDUSTRIAL SERVICES","23/06/26","#13646 - Contado - Instalación de dos cámaras de videovigilancia en el perímetro posterior de la planta con conexión mediante fibra óptica - Pin 2870","MXN","$ 17.3480","$ 583,838.18","Aceptada"
"13645","ORLANDO MARTINEZ","CORNING OPTICAL COMMUNICATIONS","23/06/26","RENTA DE BRAZO ARTICULADO POR UN DIA","MXN","$ 17.3480","$ 7,580.00","Aceptada"
"13644","ALFREDO PALOMINO","AMETEK LAMB MOTORES DE MEXICO","23/06/26","INSTALACION DE 4 CONTROLES DE ACCESO Y 21 CAMARAS","MXN","$ 17.3480","$ 357,440.81","Aceptada"
"13637","RAMIRO LEE","ALCOM ELECTRONICOS DE MEXICO","23/06/26","P#13637 - OC #66824 - LEVANTAMIENTO Y MAPEO INTEGRAL DE LA INFRAESTRUCTURA CCTV ÁREA PRODUCTIVA MD1 - PIN 1168","MXN","$ 17.3480","$ 91,013.19","Aceptada"
"13633","HECTOR VELA","IMPRESORA DONNECO INTERNACIONAL","23/06/26","PROYECTO CONTINUACION  (12105) NODOS DE RED, DMI Y ELECTRICO, CAMARAS  PLANTA 3","MXN","$ 17.3480","$ 145,530.03","Aceptada"
"13628","ALFREDO PALOMINO","AMETEK LAMB MOTORES DE MEXICO","22/06/26","INSTALACION DE 30 NODOS DE RED","MXN","$ 17.3247","$ 108,773.17","Aceptada"
